Date,Day,Type,Distance,Notes
2025-06-28,Saturday,Easy Run,8,
2025-06-29,Sunday,Speed session,10,Finish with strides
2025-06-30,Monday,Easy Run,6,
2025-07-01,Tuesday,Easy Run,8,
2025-07-02,Wednesday,Easy Run,6,
2025-07-03,Thursday,Hills session,12,
2025-07-04,Friday,Long Run,20,Finish with strides
2025-07-05,Saturday,Easy Run,8,
2025-07-06,Sunday,Speed session,10,Finish with strides
2025-07-07,Monday,Easy Run,6,
2025-07-08,Tuesday,Easy Run,8,
2025-07-09,Wednesday,Easy Run,6,
2025-07-10,Thursday,Hills session,12,
2025-07-11,Friday,Long Run,20,Finish with strides
2025-07-12,Saturday,Easy Run,8,
2025-07-13,Sunday,Speed session,10,Finish with strides
2025-07-14,Monday,Easy Run,6,
2025-07-15,Tuesday,Easy Run,8,
2025-07-16,Wednesday,Easy Run,6,
2025-07-17,Thursday,Hills session,12,
2025-07-18,Friday,Easy Run,6,
2025-07-19,Saturday,Hills session,12,
2025-07-20,Sunday,Long Run,20,Finish with strides
2025-07-21,Monday,Easy Run,8,
2025-07-22,Tuesday,Speed session,10,Finish with strides
2025-07-23,Wednesday,Easy Run,6,
2025-07-24,Thursday,Easy Run,8,
2025-07-25,Friday,Easy Run,6,
2025-07-26,Saturday,Hills session,12,
2025-07-27,Sunday,Long Run,20,Finish with strides
2025-07-28,Monday,Rest,0,
2025-07-29,Tuesday,Easy Run,9,
2025-07-30,Wednesday,Tempo,15,"5k Easy, 5k Tempo, 5k Easy"
2025-07-31,Thursday,Easy Run,5,Strength training
2025-08-01,Friday,Easy Run,6,
2025-08-02,Saturday,ParkRun,10,
2025-08-03,Sunday,Long Run,24,
2025-08-04,Monday,Easy Run,8,
2025-08-05,Tuesday,Speed session,10,Finish with strides
2025-08-06,Wednesday,Easy Run,6,
2025-08-07,Thursday,Easy Run,8,
2025-08-08,Friday,Easy Run,6,
2025-08-09,Saturday,Hills session,12,
2025-08-10,Sunday,Long Run,20,Finish with strides
2025-08-11,Monday,Easy Run,8,
2025-08-12,Tuesday,Speed session,10,Finish with strides
2025-08-13,Wednesday,Easy Run,6,
2025-08-14,Thursday,Easy Run,8,
2025-08-15,Friday,Easy Run,6,
2025-08-16,Saturday,Hills session,12,
2025-08-17,Sunday,Long Run,20,Finish with strides
2025-08-18,Monday,Easy Run,8,
2025-08-19,Tuesday,Speed session,10,Finish with strides
2025-08-20,Wednesday,Easy Run,6,
2025-08-21,Thursday,Easy Run,8,
2025-08-22,Friday,Easy Run,6,
